name,creator,price,rating,ratingCount,salesCount,type,subcategory,recommendation,affiliateRate,source,productUrl
"Journal Notion Icons & Covers  |  노션 저널 아이콘 & 커버 이미지","Loraticon",0,21,21,429,"template","journal","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/zjknq"
"A Financial Notion | Track Your Money","Better Creating",0,22,22,407,"tool","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/nxQbSn"
"Backlink Power List","Ali Azimi",0,30,30,246,"template","ai","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/wuham"
"Online Delivery Manager | Aesthetic Notion Template Download","The Notion Bar by Frances Odera Matthews",0,9,9,664,"template","tracker","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/506154195/EDVmF"
"Stoic Life Journal 2.0","Pascio",15,18,18,383,"course","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/919154899/gksefi"
"Manage Your E-commerce Business with Notion","Pathpages",0,42,42,,"template","second-brain","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/CRWAx"
"Notion Icon Pack","Cat Mulvihill",0,42,42,,"template","template","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/KWsCw"
"Blurry Hearts Notion Icons & Covers","Loraticon",0,42,42,,"template","design","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/jawiz"
"80+ College Resources","TheVeller",0,42,42,,"tool","second-brain","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/dfyeg"
"The Notion Subscription Manager","Ops & Insights",0,42,42,,"tool","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/arwwfd"
"Notion Widgets & Extensões","Arlaine Braga",0,42,42,,"template","second-brain","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/pnxcf"
"The Ultimate Generative AI for Sales Bundle with Notion Templates and 23,000+ Prompts","Anfernee",0,42,42,,"template","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/nmcty"
"Movies & Series Diary Notion Template","Tony David",0,42,42,,"template","tracker","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/tnbfwq"
"Free Handwriting Practice Cheatsheet Printables","Emma Studies — Free Printables",0,42,42,,"template","planner","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/mflrh"
"Wheel of Life","Khan",0,42,42,,"tool","planner","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/thjzw"
"Skincare Diary | Aesthetic Notion Template Download","The Notion Bar by Frances Odera Matthews",0,17,17,496,"tool","journal","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/506154195/jGdVu"
"Team OKR","Nino",27,20,20,333,"tool","dashboard","HIGHLY RECOMMENDED","partner","notionstack_matched","https://gumroad.com/a/955963603/cxpkj"
"Notion Student Operating System","Dave ✨",10,30,30,133,"course","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/wrxmq"
"2024 Couple's Planner","Sudakshina Sridharan",29,14,14,453,"tool","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/hslwf"
"Home Inventory Notion Template [Limitless OS]","Daniel Marthi",0,14,14,552,"template","design","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/qcwclx"
"Notion Vision Board and Life Planner","Notioneers",0,28,28,272,"template","goals","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/iesan"
"Grow OS | Beginner Friendly Notion Template","Valerie",10,2,2,731,"course","tracker","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/mcodc"
"Travel Bucket List, Trip Planner & Scratch Map  | Aesthetic Notion Template Download","The Notion Bar by Frances Odera Matthews",0,3,3,831,"template","planner","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/506154195/vOjmB"
"Bookmark Manager","Locominder",0,9,9,650,"template","business","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/uthwnb"
"+170 Ideas for Passive Income","adar",0,22,22,389,"template","ai","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/kklga"
"Notion x Fitness","Dave",10,20,20,326,"tool","crm","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/620903123/vjpbm"
"Skin Care Routine Notion Template","Happy Habbits",1,36,36,2,"template","tracker","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/iqxon"
"Notion Subscription Tracker","Chris",0,41,41,,"course","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/CHrXc"
"100+ Notion Creators","TheVeller",0,41,41,,"tool","second-brain","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/fyevwr"
"The Notion Twitter Thread Planner","Madison @ Systemyze",0,41,41,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/qkjcp"
"Objetivos Anuales","Planeta Notion",0,41,41,,"template","second-brain","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/nhfrn"
"Notion Postcrafter","Matthew Pryor",0,41,41,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/fdtxf"
"Free Task Manager For Productivity | Notion template","YaraDesigns",0,41,41,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/wkafl"
"Notion Docs (Documents Management)","MrPugo",0,41,41,,"tool","tracker","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/wwfyl"
"Free 7 Day Digital Planner","Emma Studies — Free Printables",0,41,41,,"template","planner","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/nyqkqe"
"Notion Time Tracker","Eazypath",0,41,41,,"tool","tracker","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ldaikg"
"Pinterest Creator (Notion Template)","Matt Bio",0,41,41,,"tool","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/346433235/issnl"
"Notion Subscription Tracker","Chris",0,41,41,,"course","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/376061651/CHrXc"
"Notion Personal Finance Tracker","Sanat | The Accountant Guy (Finance Products)",49,36,36,,"tool","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/402782931/sfrrap"
"Your Why","Gosdee",0,35,35,117,"template","planner","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ftcxq"
"Song Sanctuary - Notion Template for Music Production / Audio Professionals / Producers / Songwriters / Studio Owners","Berkan Cesur",14.99,11,11,495,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/wrbrsa"
"Daily Affirmation Notion Widget","The Bohemian Bliss ✨",0,38,38,48,"template","design","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/orbgp"
"Complete Product Hunt Launch Checklist 2025","Falak Sher",79,17,202517,364,"tool","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/851783891/BqgvE"
"Notion Inventory Management Dashboard","Benny Kan",2,35,35,,"template","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/hdcbi"
"Notion Subscription Tracker","Pathpages",0,40,40,,"template","tracker","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/kqnovw"
"Student OS","Alex",0,40,40,,"tool","dashboard","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ltskv"
"Timesheet Template","Wispy",0,40,40,,"template","tracker","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/owuev"
"30+ Viral AI Music Examples","TheVeller",0,40,40,,"tool","second-brain","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/azdyc"
"Learning Hub Notion Template","Sam",0,25,25,300,"course","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/obdmy"
"Assignment Tracker","Kevechino",0,40,40,,"course","planner","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/lgtag"
"Bookmark Manager","Small Wins",0,40,40,,"template","reading","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/mvhdio"
"Minimal Book and Reading Tracker + New Upgraded Notion Template","Kayte",5,35,35,,"template","tracker","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/fwtgm"
"Planning de Repas & Courses","Eve",0,14,14,520,"course","planner","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/bdhwg"
"Resume + Cover Letter Notion Template","Triz · bodegalaabs",1,21,21,270,"template","student","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/evrbj"
"Goal & Habit Tracker (plus) Template","The Organized Notebook",2,4,4,608,"tool","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ciyba"
"Life OS for Notion","JNKxStudio",0,15,15,485,"tool","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/obaiu"
"Notion Covers (Pack #3)","amy",0,39,39,2,"template","ai","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/MbznC"
"Notion Student OS","Temply",27,34,34,,"course","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/dlkqe"
"Control Your Wealth | Personal Finance & Investing Guide (Notion)","Tom",15,34,34,,"template","second-brain","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/fdyld"
"Idea Generator Notion Template - Ignite your Creativity","Triz · bodegalaabs",0,39,39,,"tool","ai","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/nwoboz"
"Note Tracker: Notion Template for Teachers","Notion4Teachers",9,34,34,,"course","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/zepxv"
"AI-Content Assistant","Hunter Bohm",0,39,39,,"tool","ai","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/tbnzs"
"Gestão de tarefas - Notion Template (2 em 1)","Arlaine Braga",0,39,39,,"template","second-brain","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/vyfrm"
"2024 Simple Actionable Notion Template","Productive Setups",0,39,39,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/bjejr"
"Notion Student Planner","EasyBlocks",0,39,39,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/hbektc"
"Daily Cards: A Notion Template","NellieNotion Templates Creator",0,39,39,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/rzqlr"
"Book Tracker Notion Template","Jeannelle Balilo",0,39,39,,"template","template","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/cjwjn"
"Free Language Learning Printables","Emma Studies — Free Printables",0,39,39,,"template","planner","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/geyzq"
"50/30/20 Budget | OS","Thesauros",0,39,39,,"template","finance","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/pmefsm"
"Modèle Notion - CRM","Lou Attal",0,39,39,,"template","project-management","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/aueau"
"Notion Startup OS","Notion Startup",79,34,34,,"course","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/1054051539/haiuw"
"Notion Bundle","Chris",225,34,34,,"template","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/376061651/bsgcf"
"Game Log Record Notion Template | 게임 로그 레코드 노션 템플릿","Loraticon",0,30,30,178,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/besato"
"Travel Planner Notion Template [Limitless OS]","Daniel Marthi",0,12,12,537,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/rxhfgi"
"Meal Planner & Recipes Notion Template [Limitless OS]","Daniel Marthi",0,10,10,577,"course","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/pufdh"
"Water Tracker Notion Template","Ferran Buireu",0,25,25,275,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/msenz"
"Home OS","Heyismail",0,28,28,213,"template","planner","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/jabwi"
"Product Discovery","Nino",27,26,26,148,"course","dashboard","HIGHLY RECOMMENDED","partner","notionstack_matched","https://gumroad.com/a/955963603/lbhct"
"Health Navigator","Pascio",25,19,19,285,"tool","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/919154899/NLTuC"
"Create Photorealistic Images in Midjourney Cheat Sheet.","Rory Flynn",9,20,20,264,"template","template","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/rfgguf"
"Anime’s Watchlist Template","Emiliano Vittoriosi",0,24,24,283,"course","dashboard","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/zlcnk"
"Cashflow Hub: Notion Template for Budgeting & Wealth Tracking","Ella Creative Studio",10,12,12,421,"tool","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/yhhqf"
"50+ Awesome tools for Web Developers","Suraj Vishwakarma",0,38,38,,"course","second-brain","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/sxlvz"
"Meeting Notes (for self)","Jeff Su",0,38,38,,"template","second-brain","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/snnln"
"Safety Net Planner — Notion Template","Rachel How",0,38,38,,"tool","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/qxvam"
"Zapier Automations Guide + Chat GPT/Ai Tech Stack","My Digital Brain",0,38,38,,"template","second-brain","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/shibx"
"Design Your Dream Life","Anna Hickman",0,38,38,,"template","tracker","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/bbdxxj"
"Simple Freelancer Hub for Notion","Ance",0,38,38,,"course","second-brain","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/kkvjjc"
"Notion Keyboard Shortcut Guide (Minimalist)","The Productivity Co.",0,38,38,,"tool","second-brain","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/qdfeh"
"Take Control of Your Subscriptions Track, Manage, and Save with Powerful Features","Leo",15,33,33,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ujbcm"
"Priority Management | Eisenhower Matrix","TheVeller",0,38,38,,"template","template","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/661958867/pwwac"
"Ultimate Finance Tracker Notion Template","Solt Wagner",29,33,33,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/883590867/pvnkk"
"Task Manager","Notion Workflow Templates & Consulting",10,22,22,217,"template","crm","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ugisf"
"Notion | Goal Planner","Neat Studio (Notion for Everyday Things)",0,21,21,333,"tool","second-brain","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ebrxaj"
"Holiday Greeting Card/ E-Card | Aesthetic Notion Template Download","The Notion Bar by Frances Odera Matthews",0,6,6,628,"template","business","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/506154195/sJxel"
"Cash Flow Hub Notion Template","Nagaraj",19,16,16,327,"template","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ivlcn"
"Album Review Template | Aesthetic Notion Template Download","The Notion Bar by Frances Odera Matthews",0,2,2,746,"template","reading","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/506154195/ZTgTA"
"Product Designer OS (Bundle Pack)","UX DEPARTMENT",15,25,25,143,"tool","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/axjatn"
"Modèle Notion - Règle des 3","Lou Attal",0,3,33,743,"template","ai","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/yzrfm"
"The "How-To-Notion" Wiki","Felix' Digital Stash",0,37,37,,"course","content","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/qqrgrv"
"Notion Icons Vol. 3","Heyzoish",0,37,337,,"template","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/nmimg"
"162 Business and Finance | Ad Creation | Midjourney Prompts","Aivik",5,19,19,260,"template","ai","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/fhvlq"
"Reading Corner Notion Template [Limitless OS]","Daniel Marthi",0,13,13,480,"template","ai","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ytcasu"
"Digital Planner | Notion","Taskspaces",0,37,37,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/wvbca"
"Love Language Gift Generator Notion Template","Theresa Dinh",0,37,37,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/reopv"
"Notion Academic Guide","Nicholas",0,37,37,,"course","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/oomxby"
"Manifest-station","Notion Freak",10,32,32,,"tool","tracker","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/codpl"
"The Ultimate SEO Checklist","Alek Asaduryan 🎯",0,37,37,,"template","content","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/hqnukq"
"Notion Kickoff Bundle","MrPugo",0,37,37,,"template","productivity","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/rwxkrj"
"Game of Life for Notion","Philipp Stelzel",27,32,32,,"tool","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/117590867/tienc"
"E-Commerce OS","Easlo",49,32,32,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/602107091/abldq"
"TikTok Creator (Notion Template)","Matt Bio",0,37,37,,"course","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/346433235/xkhya"
"Storybook: Master Novelist - The Best Notion Template for Writers!","Writing Quest",39.99,18,18,277,"template","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/sfskjf"
"Ultimate Self-care Dashboard.","Iro",9.99,12,12,394,"tool","dashboard","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ggjjw"
"Period- and Cycle Tracker","Notioneers",0,31,31,113,"template","tracker","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/wjmqgc"
"FREE: Ultimate ADHD Second Brain for Studying/School/University 📚🎓✨ | Notion Template by Neuro Notion","Neuro Notion",0,12,12,490,"template","tracker","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/cnjkw"
"161 Marketing and Advertising | Ad Creation | Midjourney Prompts","Aivik",5,16,16,308,"template","ai","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/qezib"
"Finance Tracker 4.0","JNKxStudio",0,15,15,428,"tool","dashboard","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/fjjva"
"Notion Life Planner - Minimalistic","Alaska Notion",10,13,13,364,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/rdxdhz"
"Task List Hub","Fre",0,36,36,,"template","dashboard","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/wbwgi"
"Notion Savings & Wishlist Template","Jota",5,21,21,200,"template","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/rbstw"
"Automated Simple Notion Habit Tracker","Madison @ Systemyze",0,36,36,,"template","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/wwagk"
"Weekly Planner","TheVeller",0,36,36,,"template","planner","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/toygu"
"Employee Performance Log","ManagerHacks by Mona",0,36,36,,"tool","template","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/miiyz"
"Notion Bullet Journal","Zach Matthai",15,31,31,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ftsic"
"Notion Finance Tracker","Pathpages",59,31,31,,"course","tracker","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ebkfb"
"Language Learning (Notion Template)","Fronk (@itskeeplearning)",0,36,36,,"course","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/qWFEk"
"Networking 101 - Gamified ChatGPT Course","TheVeller",0,36,36,,"course","ai","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/gjwgfz"
"Notion Student Pack","The Matcha Vibe",0,36,36,,"template","tracker","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ueglq"
"50+ Notion Communities","Nikk",0,36,36,,"template","ai","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/uptzb"
"Trade Tracker Journal (Trading) for Notion","MrPugo",0,36,36,,"course","tracker","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/vqzozq"
"Homeschool Dashboard Notion Template","Randy Valencia",0,36,36,,"template","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/fxoxqf"
"Notion /dividers: Marble Pack","Lari Niehl",0,36,36,,"template","bundle","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ghpEQ"
"Notion Roadmap","Severin",0,36,36,,"course","ai","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/402026707/appwj"
"Notion Ultimate Time Tracker","Solt Wagner",29,31,31,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/883590867/siuwf"
"Professional Habit Tracker in Notion v2.0","Daniel Canosa",24,7,7,478,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/799165267/LiuEv"
"Resume & CV Notion Template Bundle","The Organized Notebook",0,20,20,316,"template","design","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/uhgmlb"
"Notion Recipe Manager & Meal Planner - 2.0","Organizing Wonderland",10,7,7,471,"tool","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/emqnob"
"Travel Planner Notion Template, Productive Organization, Journey Planning","NotionPlates",5,11,11,390,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/fzwrg"
"Twitter Growth Lab","Ev Chapman",0,35,35,,"template","content","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/vholq"
"Event Management Template (for Notion)","Jeff Su",0,35,35,,"template","ai","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/nibxdb"
"Life Journal (Free Notion Template)","jack!",0,35,35,,"template","tracker","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/mMpeO"
"Languages Hub in Notion","Michelle Languages",0,35,35,,"course","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/xiqyby"
"Life Planner | Notion Template","Lamina Notion",3,30,30,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/fjppp"
"Lesson Planner: Notion Template for Teachers","Notion4Teachers",9,30,30,,"tool","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ctgslq"
"Business Model Canvas Notion Template","Rosidssoy",0,35,35,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/jqoxuy"
"Job Search 101 - Gamified ChatGPT Course","TheVeller",0,35,35,,"course","second-brain","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/fbbaly"
"Ultimate Notion Formula Mastery template (Old Version)","Nikk",0,35,35,,"course","second-brain","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/yhuof"
"Free Intentional Spending & Gifting Template for Notion","Emma Studies — Free Printables",0,35,35,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/tuswu"
"To-do List Template","Poonam Sharma",0,35,35,,"template","planner","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/qchzz"
"250 ChatGPT Ideas to Make Easy Money Online","AppSourceHub",0,35,35,,"tool","second-brain","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/qyrrp"
"Feynman Technique Notion Template - The Best Study Dashboard for Students and Life-Long Learners","Philipp Stelzel",7,30,30,,"course","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/117590867/vmmaj"
"Wishlist","TheVeller",0,35,35,,"template","template","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/661958867/mrbyu"
"Notion Widget Gallery (180+ widgets)","Chichi",0,35,35,,"tool","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/520909011/trqkpo"
"The Adventure Book | Notion Ultimate Travel Planner Dashboard","Organizing Wonderland",15,11,11,378,"template","content","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/pmbed"
"Habit Tracker - Notion Template","Nick Lafferty",0,26,26,174,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/mgtco"
"Notion Planner (Daily, Weekly, Monthly)","Arsen Ablaev",9,14,14,310,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/nfzhw"
"162 Pets and Animals | Ad Creation | Midjourney Prompts","Aivik",5,20,20,185,"template","ai","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/whfaw"
"Daily Planner Notion Template","Go Limitless",0,32,32,45,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ozlun"
"Notion Bullet Journal","Pathpages",0,34,34,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/brjij"
"StartOS | Plug-and-Play Notion Startup System","Ajinkya| Startup Notion",0,34,34,,"tool","crm","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ksfmh"
"Notion - Minutes Meeting","Mohamad Aizat Bin Ismail",0,34,34,,"template","ai","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ezcpt"
"Designers Project Manager","Notion For Designers",0,34,34,,"template","planner","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/hxkdjh"
"Matriz de Eisenhower | Gestão de Tarefas","Arlaine Braga",0,34,34,,"template","second-brain","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/gebww"
"Notion Illustrations - Free Sample","Popsy",0,34,34,,"template","ai","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/fdofcb"
